               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  85,            0.025469,            0.007594,                   0,             0.99727,                   1,               0.995,             0.68878,            0.028579,           0.0038557,                   0,            0.007228,            0.007228,            0.007228
                  86,            0.026333,           0.0060473,                   0,             0.99815,                   1,               0.995,             0.72229,            0.025629,            0.003891,                   0,            0.007195,            0.007195,            0.007195
                  87,            0.023755,           0.0074444,                   0,             0.99807,                   1,               0.995,             0.73074,            0.024191,           0.0039263,                   0,            0.007162,            0.007162,            0.007162
                  88,             0.02773,           0.0066777,                   0,             0.99862,                   1,               0.995,              0.7123,            0.024875,           0.0039597,                   0,            0.007129,            0.007129,            0.007129
                  89,            0.024082,           0.0060254,                   0,             0.99655,                   1,               0.995,             0.70841,            0.028177,           0.0039711,                   0,            0.007096,            0.007096,            0.007096
                  90,            0.023714,           0.0059538,                   0,             0.98991,                   1,               0.995,             0.66606,            0.025744,           0.0039873,                   0,            0.007063,            0.007063,            0.007063
                  91,            0.024969,           0.0063482,                   0,             0.99631,                   1,               0.995,              0.6788,            0.024583,           0.0039673,                   0,             0.00703,             0.00703,             0.00703
                  92,            0.023431,           0.0058568,                   0,             0.99553,                   1,               0.995,             0.72389,            0.024596,           0.0039158,                   0,            0.006997,            0.006997,            0.006997
                  93,            0.027134,           0.0061847,                   0,             0.99729,                   1,               0.995,             0.66614,            0.026326,           0.0039864,                   0,            0.006964,            0.006964,            0.006964
                  94,            0.022956,           0.0071936,                   0,              0.9971,                   1,               0.995,             0.67247,            0.028802,           0.0039263,                   0,            0.006931,            0.006931,            0.006931
                  95,            0.022314,           0.0058757,                   0,                   1,             0.99795,               0.995,             0.70801,            0.028541,            0.003911,                   0,            0.006898,            0.006898,            0.006898
                  96,            0.027748,           0.0063873,                   0,             0.99649,                   1,               0.995,             0.71924,            0.024537,            0.003808,                   0,            0.006865,            0.006865,            0.006865
                  97,            0.023861,           0.0059065,                   0,               0.998,                   1,               0.995,             0.66015,            0.030966,           0.0038738,                   0,            0.006832,            0.006832,            0.006832
                  98,            0.025196,           0.0056234,                   0,             0.99588,                   1,               0.995,             0.66477,             0.02941,           0.0038319,                   0,            0.006799,            0.006799,            0.006799
                  99,            0.022402,           0.0049659,                   0,             0.99743,                   1,               0.995,             0.68784,            0.023462,             0.00389,                   0,            0.006766,            0.006766,            0.006766
                 100,            0.023202,           0.0053767,                   0,                   1,             0.99889,               0.995,             0.70597,            0.024015,           0.0039454,                   0,            0.006733,            0.006733,            0.006733
                 101,            0.017748,           0.0053407,                   0,             0.99708,                   1,               0.995,             0.61192,            0.025358,           0.0038891,                   0,              0.0067,              0.0067,              0.0067
                 102,            0.021281,           0.0075059,                   0,             0.99775,                   1,               0.995,             0.60127,            0.032127,           0.0039768,                   0,            0.006667,            0.006667,            0.006667
                 103,            0.024046,            0.005475,                   0,             0.99584,                   1,               0.995,              0.7075,             0.02183,           0.0038853,                   0,            0.006634,            0.006634,            0.006634
                 104,             0.02225,           0.0051921,                   0,             0.99434,                   1,               0.995,             0.74117,            0.024427,           0.0039196,                   0,            0.006601,            0.006601,            0.006601
                 105,            0.022499,           0.0051182,                   0,             0.99436,                   1,               0.995,             0.66984,            0.022692,           0.0040073,                   0,            0.006568,            0.006568,            0.006568
                 106,             0.01868,           0.0064294,                   0,              0.9933,                   1,               0.995,             0.65315,            0.024712,           0.0039921,                   0,            0.006535,            0.006535,            0.006535
                 107,            0.019603,           0.0056803,                   0,             0.99684,                   1,               0.995,             0.65186,            0.022841,           0.0038919,                   0,            0.006502,            0.006502,            0.006502
                 108,            0.019734,           0.0059548,                   0,             0.99791,                   1,               0.995,             0.66593,            0.025076,           0.0039377,                   0,            0.006469,            0.006469,            0.006469
                 109,            0.023096,           0.0058817,                   0,             0.99619,                   1,               0.995,             0.64206,            0.027872,           0.0040445,                   0,            0.006436,            0.006436,            0.006436
                 110,            0.021252,           0.0060681,                   0,             0.99464,                   1,               0.995,             0.65913,            0.027607,           0.0040674,                   0,            0.006403,            0.006403,            0.006403
                 111,            0.025962,            0.004604,                   0,             0.99303,                   1,               0.995,             0.67879,            0.025404,           0.0041761,                   0,             0.00637,             0.00637,             0.00637
                 112,            0.019991,           0.0056415,                   0,             0.99337,                   1,               0.995,             0.66383,            0.023501,            0.004241,                   0,            0.006337,            0.006337,            0.006337
                 113,            0.017911,           0.0048919,                   0,             0.99437,                   1,               0.995,             0.63814,            0.026138,           0.0040894,                   0,            0.006304,            0.006304,            0.006304
                 114,            0.020277,           0.0047561,                   0,             0.99514,                   1,               0.995,             0.68256,            0.024631,           0.0039787,                   0,            0.006271,            0.006271,            0.006271
                 115,            0.021734,           0.0052142,                   0,             0.99619,                   1,               0.995,             0.67976,             0.02495,           0.0038557,                   0,            0.006238,            0.006238,            0.006238
                 116,            0.023046,           0.0052181,                   0,             0.99635,                   1,               0.995,             0.71522,            0.022317,           0.0037937,                   0,            0.006205,            0.006205,            0.006205
                 117,            0.022113,           0.0056095,                   0,             0.99625,                   1,               0.995,             0.66093,            0.026948,             0.00385,                   0,            0.006172,            0.006172,            0.006172
